"trope","word","loglikelihood","totalTropeDialogue"
"Amicable Exes","set",5.19661376843836,34
"Flawed Prototype","set",5.19661376843836,34
"Take Up My Sword","mercenary",5.19653490030624,179
"Reformed, but Not Tamed","call",5.19651943586422,70
"Punctuated!  For!  Emphasis!","long",5.19644719925719,134
"Fairytale Wedding Dress","long",5.19644719925719,134
"Seers","weird",5.1963221061544,72
"Seers","knot",5.1963221061544,72
"Villain's Dying Grace","finite",5.1963221061544,72
"Glowing Eyes","than",5.19617335490041,19
"If You Ever Do Anything to Hurt Her...","than",5.19617335490041,19
"Friendly Sniper","copy",5.19607291854008,57
"Scars are Forever","copy",5.19607291854008,57
"When All You Have Is a Hammer…","forget",5.19597263768182,134
"When All You Have Is a Hammer…","darkness",5.19597263768182,134
"Right for the Wrong Reasons","PROPN",5.19579531188127,194
"Aborted Arc","until",5.19574130471596,37
"I Did What I Had to Do","five",5.19557762379761,302
"Adaptational Badass","beautiful",5.19557762379761,302
"Self-Duplication","survive",5.19553304691251,80
"All of the Other Reindeer","time",5.19551126576347,47
"Was Once a Man","must",5.19544121849521,88
"Bald of Evil","close",5.19534285004369,117
"Badass Bookworm","story",5.19519998437974,343
"Badass Bookworm","probably",5.19519998437974,343
"Affably Evil","master",5.19509160593628,593
"Sword and Fist","through",5.19493630511658,51
"Secret A.I. Moves","through",5.19493630511658,51
"Evil Orphan","through",5.19493630511658,51
"Powered by a Forsaken Child","through",5.19493630511658,51
"Stepford Smiler","chance",5.19485862825497,368
"Braggart Boss","never",5.19473574494315,18
"Evil Duo","never",5.19473574494315,18
"Goldfish Poop Gang","never",5.19473574494315,18
"Tentacled Terror","never",5.19473574494315,18
"To Serve Man","never",5.19473574494315,18
"Weak to Fire","never",5.19473574494315,18
"Working Off the Debt","never",5.19473574494315,18
"Psychic Powers","never",5.19473574494315,18
"Camera Fiend","about",5.19465853287694,11
"Crucified Hero Shot","about",5.19465853287694,11
"Designer Baby","about",5.19465853287694,11
"Elite Mook","about",5.19465853287694,11
"Embarrassing Tattoo","about",5.19465853287694,11
"Emergency Weapon","about",5.19465853287694,11
"Formerly Fat","about",5.19465853287694,11
"Friendless Background","about",5.19465853287694,11
"Gravity Sucks","about",5.19465853287694,11
"Innocent Blue Eyes","about",5.19465853287694,11
"Morally Superior Copy","about",5.19465853287694,11
"My Future Self and Me","about",5.19465853287694,11
"Scannable Man","about",5.19465853287694,11
"Steel Ear Drums","about",5.19465853287694,11
"Weakened by the Light","about",5.19465853287694,11
"Puny Earthlings","every",5.194650958737,50
"Dramatic Irony","which",5.19463686094662,189
"Brainwashed and Crazy","as",5.19454771550063,382
"Cuteness Proximity","gift",5.19436725746906,162
"Witch Hunt","our",5.19433748892653,62
"Power Incontinence","between",5.1941839381441,82
"Firing One-Handed","between",5.1941839381441,82
"Heel Realization","faithful",5.1941608106047,129
"The Pollyanna","happy",5.19415859203426,250
"Humble Hero","everything",5.19414736669088,253
"Feudal Overlord","any",5.19412264056991,32
"Justice by Other Legal Means","any",5.19412264056991,32
"Spear Counterpart","any",5.19412264056991,32
"Reformed, but Rejected","in.",5.19409301526865,158
"The Captain","count",5.19409156034874,157
"This Is Unforgivable!","around",5.1939561729022,96
"Tragic Villain","gasp",5.19378346627366,332
"Tragic Villain","haggle",5.19378346627366,332
"Tragic Villain","merchant",5.19378346627366,332
"Tragic Villain","potion",5.19378346627366,332
"Tragic Villain","expensive",5.19378346627366,332
"I'll Pretend I Didn't Hear That","fade",5.1934577479248,66
"Kavorka Man","laugh",5.1934577479248,66
"Shared Family Quirks","laugh",5.1934577479248,66
"Gold and White Are Divine","consider",5.19306990927178,105
"Token Heroic Orc","fire",5.19238095492738,112
"Easily Forgiven","another",5.19232311812761,97
"Vocal Dissonance","cost",5.19232311812761,97
"Vocal Dissonance","mistress",5.19232311812761,97
"Vocal Dissonance","masse",5.19232311812761,97
"Vocal Dissonance","weak",5.19232311812761,97
"Vocal Dissonance","wan",5.19232311812761,97
"Vocal Dissonance","enervate",5.19232311812761,97
"Vocal Dissonance","empower",5.19232311812761,97
"Vocal Dissonance","nurture",5.19232311812761,97
"Vocal Dissonance","gifted",5.19232311812761,97
"Vocal Dissonance","key",5.19232311812761,97
"The Teetotaler","labor",5.19232311812761,97
"Blush Sticker","help",5.19231741497513,62
"Never Gets Drunk","order",5.19231741497513,62
"An Ice Person","likely",5.19218329698364,233
"An Ice Person","proof",5.19218329698364,233
"Redemption Equals Death","secret",5.19204788311323,209
"Neutral No Longer","regret",5.19204788311323,209
"Master Swordsman","secret",5.19204788311323,209
"Chivalrous Pervert","tis",5.19204788311323,209
"Chivalrous Pervert","reward",5.19204788311323,209
"Cheerful Child","guy",5.1919307744009,218
"The Unfettered","advance",5.19190768334439,148
"The Unfettered","ambition",5.19190768334439,148
"The Unfettered","palace",5.19190768334439,148
"The Unfettered","phase",5.19190768334439,148
"The Unfettered","odd",5.19190768334439,148
"The Unfettered","despite",5.19190768334439,148
"The Unfettered","havoc",5.19190768334439,148
"The Unfettered","wreaking",5.19190768334439,148
"The Unfettered","deign",5.19190768334439,148
"The Unfettered","unsundered",5.19190768334439,148
"The Unfettered","shackle",5.19190768334439,148
"The Unfettered","molder",5.19190768334439,148
"The Unfettered","damnable",5.19190768334439,148
"The Unfettered","hunting",5.19190768334439,148
"Dark Action Girl","human",5.19190768334439,148
"Star Power","out",5.19184244270531,24
"Psychopathic Man Child","out",5.19184244270531,24
"Aroused by Their Voice","out",5.19184244270531,24
"Good Hair, Evil Hair","out",5.19184244270531,24
"Spare to the Throne","out",5.19184244270531,24
"The Mentally Disturbed","try",5.19121979030781,42
"Boss-Altering Consequence","try",5.19121979030781,42
"Old Retainer","adventurer",5.19114162712836,312
"Overrated and Underleveled","getting",5.19107466222004,98
"Serial Killer","deal",5.1909740955103,138
"Hero Antagonist","proud",5.19097056785917,64
"Bodyguard Betrayal","proud",5.19097056785917,64
"Everyone Has Standards","ahead",5.1907239170382,811
"Everyone Has Standards","siren",5.1907239170382,811
"Everyone Has Standards","sand",5.1907239170382,811
"Everyone Has Standards","muse",5.1907239170382,811
"Everyone Has Standards","forsake",5.1907239170382,811
"Everyone Has Standards","resort",5.1907239170382,811
"Everyone Has Standards","f.lhaminn",5.1907239170382,811
"Everyone Has Standards","dwelt",5.1907239170382,811
"Everyone Has Standards","egad",5.1907239170382,811
"Everyone Has Standards","chain",5.1907239170382,811
"Everyone Has Standards","bedpost",5.1907239170382,811
"Everyone Has Standards","ply",5.1907239170382,811
"Everyone Has Standards","riffraff",5.1907239170382,811
"Everyone Has Standards","west",5.1907239170382,811
"Everyone Has Standards","wherever",5.1907239170382,811
"Everyone Has Standards","frame",5.1907239170382,811
"Everyone Has Standards","tower",5.1907239170382,811
"Everyone Has Standards","peak",5.1907239170382,811
"Everyone Has Standards","height",5.1907239170382,811
"Everyone Has Standards","steep",5.1907239170382,811
"Everyone Has Standards","dens",5.1907239170382,811
"Horrible Judge of Character","fall",5.19060654146497,294
"Action Dad","inside",5.19055631728622,76
"Ms. Fanservice","honor",5.19049861754884,542
"Weaksauce Weakness","big",5.19042199350999,91
"Rank Up","eh",5.19042199350999,91
"The Battle Didn't Count","during",5.19042199350999,91
"You Killed My Father","safety",5.19021004544577,99
"Why Did It Have to Be Snakes?","safety",5.19021004544577,99
"Everyone Can See It","experience",5.19018247978184,228
"Everyone Can See It","trade",5.19018247978184,228
"Suddenly Voiced","welcome",5.19014943150491,123
"Ass Kicks You","into",5.18993736510752,20
"Dartboard of Hate","into",5.18993736510752,20
"Extreme Omnivore","into",5.18993736510752,20
"Fighting Clown","into",5.18993736510752,20
"Kissing Cousins","into",5.18993736510752,20
"We Can Rule Together","shelter",5.18991514820978,102
"We Can Rule Together","accompany",5.18991514820978,102
"We Can Rule Together","race",5.18991514820978,102
"Precision F-Strike","put",5.18987609036828,278
"Hero-Worshipper","here",5.18974619895319,184
"Villain: Exit, Stage Left","less",5.18963046311947,101
"The Corrupter","allow",5.18963046311947,101
"Bus Crash","doubt",5.18963046311947,101
"Bus Crash","less",5.18963046311947,101
"Earthy Barefoot Character","doubt",5.18963046311947,101
"Earthy Barefoot Character","less",5.18963046311947,101
"Eternal Hero","doubt",5.18963046311947,101
"Eternal Hero","less",5.18963046311947,101
"Manipulative Bastard","birthright",5.18958165340559,369
"Dual Boss","best",5.18938433791617,201
"Dual Boss","reckless",5.18938433791617,201
"Dual Boss","inflict",5.18938433791617,201
"Dual Boss","endure",5.18938433791617,201
"Dual Boss","torment",5.18938433791617,201
"Dual Boss","vengeance",5.18938433791617,201
"Large Ham","lie",5.18934575012845,535
"Heroes Prefer Swords","real",5.18916921844832,383
"Chekhov's Gunman","whenever",5.18916921844832,383
"The Man Behind the Man","whenever",5.18916921844832,383
"Screw the Rules, I'm Doing What's Right!","I",5.18890361199833,334
"Happily Adopted","come",5.18882404520028,362
"Dumb Muscle","talk",5.18845665698757,111
"Rewarded as a Traitor Deserves","talk",5.18845665698757,111
"The Stoic","ship",5.188417457207,518
"Tomboy and Girly Girl","hurt",5.18836731335488,150
"White Magician Girl","hurt",5.18836731335488,150
"Blood Knight","mighty",5.18808649628268,655
"'80s Hair","strong",5.18806871620697,39
"This Looks Like a Job for Aquaman","strong",5.18806871620697,39
"Passing the Torch","there",5.18801540404054,214
"Evil Sounds Deep","thief",5.1879551771883,239
"Warrior Poet","warrior",5.18766519827051,160
"Revenge","be",5.18729535376072,214
"Underestimating Badassery","boss",5.18708057582656,88
"Alliterative Name","love",5.18708057582656,88
"Gory Discretion Shot","boss",5.18708057582656,88
"Going Native","feel",5.18702188115283,129
"Drives Like Crazy","deliver",5.18668796043583,92
"Abhorrent Admirer","city",5.18665436674535,264
"Woobie, Destroyer of Worlds","futile",5.1866363054125,190
"You Are in Command Now","hmm",5.18657918677614,214
"Passing the Torch","bearer",5.18657918677614,214
"Passing the Torch","shone",5.18657918677614,214
"Passing the Torch","dim",5.18657918677614,214
"Passing the Torch","falter",5.18657918677614,214
"Passing the Torch","stead",5.18657918677614,214
"Passing the Torch","presage",5.18657918677614,214
"Passing the Torch","beseech",5.18657918677614,214
"Passing the Torch","dwelleth",5.18657918677614,214
"Passing the Torch","reveal",5.18657918677614,214
"Passing the Torch","liveth",5.18657918677614,214
"Storm of Blades","murder",5.18651264742471,49
"Battle Aura","murder",5.18651264742471,49
"Nightmare Face","murder",5.18651264742471,49
"Rat Stomp","tell",5.18650459986633,16
"Bandit Mook","tell",5.18650459986633,16
"Even Evil Can Be Loved","tell",5.18650459986633,16
"Flaunting Your Fleets","tell",5.18650459986633,16
"Leave No Witnesses","tell",5.18650459986633,16
"Springtime for Hitler","tell",5.18650459986633,16
"Saving the World","tell",5.18650459986633,16
"Captain Obvious","tell",5.18650459986633,16
"The All-Solving Hammer","tell",5.18650459986633,16
"Crazy Is Cool","tell",5.18650459986633,16
"Foe-Tossing Charge","tell",5.18650459986633,16
"Good Thing You Can Heal","tell",5.18650459986633,16
"Honorary True Companion","tell",5.18650459986633,16
"Hypothetical Fight Debate","tell",5.18650459986633,16
"Informed Equipment","tell",5.18650459986633,16
"Just Eat Him","tell",5.18650459986633,16
"Moral Pragmatist","tell",5.18650459986633,16
"Pen-Pushing President","tell",5.18650459986633,16
"Radish Cure","tell",5.18650459986633,16
"Screw the Rules, I Make Them!","tell",5.18650459986633,16
"Sociopathic Hero","tell",5.18650459986633,16
"Special Snowflake Syndrome","tell",5.18650459986633,16
"Surrounded by Idiots","tell",5.18650459986633,16
"Took a Level in Cynic","tell",5.18650459986633,16
"Uncomfortable Elevator Moment","tell",5.18650459986633,16
"Wasteland Warlord","tell",5.18650459986633,16
"Where It All Began","tell",5.18650459986633,16
"Why Don't Ya Just Shoot Him?","tell",5.18650459986633,16
"Wild Card","forge",5.18642430358396,83
"We Hardly Knew Ye","quite",5.18639734572715,251
"Uncle Pennybags","why",5.18570943030453,155
"Expy","option",5.18534296948727,581
"Eccentric Mentor","defeat",5.18516989887026,51
"Informed Ability","defeat",5.18516989887026,51
"Color-Coded for Your Convenience","watch",5.18516989887026,51
"Noblewoman's Laugh","X",5.18515419284346,57
"No True Scotsman","alive",5.18513854450875,63
"Sinister Scimitar","alive",5.18513854450875,63
"Ambiguously Human","alive",5.18513854450875,63
"We Have Become Complacent","pray",5.18513854450875,63
"BFS","night",5.18510699588055,452
"Almighty Janitor","walk",5.18501450608616,74
"Staff of Authority","walk",5.18501450608616,74
"I Have You Now, My Pretty","I",5.18500998473795,173
"Those Two Guys","fly",5.18499527545888,119
"Assassin Outclassin'","presence",5.1849894074464,47
"At the Opera Tonight","presence",5.1849894074464,47
"Believing Their Own Lies","presence",5.1849894074464,47
"Black Humor","presence",5.1849894074464,47
"Body Backup Drive","presence",5.1849894074464,47
"Costume Inertia","presence",5.1849894074464,47
"Defeat Equals Friendship","presence",5.1849894074464,47
"Dehumanization","presence",5.1849894074464,47
"Determined Defeatist","presence",5.1849894074464,47
"Evil Learns of Outside Context","presence",5.1849894074464,47
"Exhausted Eye Bags","presence",5.1849894074464,47
"Final-Exam Boss","presence",5.1849894074464,47
"Forgotten Friend, New Foe","presence",5.1849894074464,47
"Gleeful and Grumpy Pairing","presence",5.1849894074464,47
"Lemony Narrator","presence",5.1849894074464,47
"Moving the Goalposts","presence",5.1849894074464,47
"Name To Run Away From Really Fast","presence",5.1849894074464,47
"Rooting for the Empire","presence",5.1849894074464,47
"Schemer","presence",5.1849894074464,47
"Speak Ill of the Dead","presence",5.1849894074464,47
"Super Supremacist","presence",5.1849894074464,47
"Superweapon Surprise","presence",5.1849894074464,47
"Sympathy for the Hero","presence",5.1849894074464,47
"Torso with a View","presence",5.1849894074464,47
"Two Aliases, One Character","presence",5.1849894074464,47
"Wham Shot","presence",5.1849894074464,47
"Whole-Plot Reference","presence",5.1849894074464,47
"Written by the Winners","presence",5.1849894074464,47
"Armor-Piercing Question","measure",5.18491074268751,153
"Revenge Before Reason","start",5.18491074268751,153
"Revenge Before Reason","question",5.18491074268751,153
"Mirror Boss","second",5.18455002863295,69
"What Measure Is a Non-Human?","second",5.18455002863295,69
"White Mage","blame",5.18451587166321,323
"Face Death with Dignity","least",5.18444245693036,357
"That Man Is Dead","effort",5.18443241411173,115
"Papa Wolf","training",5.1843543272132,399
"Hate Sink","be",5.18434407890047,334
"Spikes of Villainy","eye",5.1842403527713,78
"Marathon Boss","half",5.1842403527713,78
"The Chains of Commanding","breath",5.18409403549708,433
"Gollum Made Me Do It","or",5.184071688223,33
"Sixth Ranger Traitor","or",5.184071688223,33
"What Is This Thing You Call ""Love""?","or",5.184071688223,33
"Alternate Self","humble",5.18389518332832,345
"Alternate Self","chocobo",5.18389518332832,345
"Alliterative Name","about",5.18384603216279,88
"Well-Intentioned Extremist","claim",5.18366871036785,793
"Retired Badass","and",5.18366635374097,1069
"Heartfelt Apology","continue",5.1833943371595,73
"Optional Boss","wood",5.1833717745293,391
"No Historical Figures Were Harmed","self",5.18334290989791,93
"Take Over the World","woman",5.18334290989791,93
"Take Over the World","beyond",5.18334290989791,93
"Big Bad Duumvirate","ever",5.18333640530009,156
"Mythology Gag","I",5.18329172577438,1134
"Evil Laugh","then",5.18310652171347,320
"Right for the Wrong Reasons","busy",5.18280674762987,194
"Aesop Amnesia","world",5.18266449842427,24
"Char Clone","world",5.18266449842427,24
"Villains Never Lie","take",5.18261972086758,70
"Sword Beam","thus",5.18249878510202,125
"Crash-Into Hello","final",5.18244560430624,71
"Evil Counterpart","already",5.18240738610966,301
"Tall, Dark, and Handsome","picture",5.1824047758675,163
"Tall, Dark, and Handsome","X5",5.1824047758675,163
"Tall, Dark, and Handsome","showdown",5.1824047758675,163
"Tall, Dark, and Handsome","compression",5.1824047758675,163
"Tall, Dark, and Handsome","friendship",5.1824047758675,163
"Tall, Dark, and Handsome","show.em",5.1824047758675,163
"Always with You","gift",5.1824047758675,163
"Captain Color Beard","day",5.18229372618588,20
"Cool Boat","day",5.18229372618588,20
"Cool Mask","day",5.18229372618588,20
"Exploding Barrels","day",5.18229372618588,20
"Not Helping Your Case","oh",5.18188040461926,32
"The Baroness","yeah",5.18158118203058,37
"Hunter of Monsters","stay",5.18158118203058,37
"Friendly Enemy","those",5.18095392363435,22
"Fiction 500","prepare",5.18083803491354,66
"Yamato Nadeshiko","nope",5.18050890216529,198
"A God Am I","guest",5.18048984826737,206
"Evil Sounds Deep","mine",5.18043187640433,239
"Precision F-Strike","that",5.18018991712641,278
"Irony","whose",5.18005745909667,723
"Maybe Ever After","some",5.17981887254277,55
"Lady of War","sake",5.17973721652282,202
"Four-Star Badass","unite",5.17953116618378,523
"Maligned Mixed Marriage","journey",5.17942266491914,365
"Killed Offscreen","while.",5.17930458573858,265
"In the Hood","win",5.17915102471696,130
"Idiot Hero","ok",5.17881826501587,149
"Parental Neglect","bend",5.17881826501587,149
"Parental Neglect","quicken",5.17881826501587,149
"Parental Neglect","deity",5.17881826501587,149
"Parental Neglect","arise",5.17881826501587,149
"Parental Neglect","anew",5.17881826501587,149
"Distressed Dude","bear",5.1787481257655,64
"Bitch in Sheep's Clothing","protect",5.17866784582031,252
"Walking Shirtless Scene","and",5.17856736787896,349
"Second Love","eat",5.17851119700592,82
"The Beastmaster","beauty",5.17830064520051,166
"Spanner in the Works","yyyyyyyaaaaaahhhhhh",5.17826803729043,346
"The Atoner","this",5.17816816384506,1165
"Lady and Knight","come",5.1781327753793,83
"Cutscene Incompetence","its",5.17778287220198,33
"Healer Signs On Early","its",5.17778287220198,33
"Scissors Cuts Rock","its",5.17778287220198,33
"Snake People","its",5.17778287220198,33
"Volcano Lair","its",5.17778287220198,33
"Hero-Worshipper","scene",5.17768604429856,184
"Hero-Worshipper","bitter",5.17768604429856,184
"Hero-Worshipper","wage",5.17768604429856,184
"Evil Gloating","scene",5.17768604429856,184
"Evil Gloating","bitter",5.17768604429856,184
"Evil Gloating","wage",5.17768604429856,184
"Evil Gloating","raise",5.17768604429856,184
"Disproportionate Retribution","discussion",5.17742596803344,296
"Disproportionate Retribution","meaningless",5.17742596803344,296
"Disproportionate Retribution","invisible",5.17742596803344,296
"You Are What You Hate","traitor",5.17694007590069,139
"Red Baron","bastard",5.17690647763193,552
"Voice of the Legion","prayer",5.17661281930276,156
"Voice of the Legion","dream",5.17661281930276,156
"Big Bad Duumvirate","prayer",5.17661281930276,156
"Big Bad Duumvirate","dream",5.17661281930276,156
"Heads I Win, Tails You Lose","dream",5.17661281930276,156
"Multi-Ranged Master","before",5.17652811037459,40
"My Beloved Smother","use",5.17652811037459,40
"No Hero to His Valet","speak",5.17608198838279,29
"When She Smiles","team",5.17605386808513,76
"Manly Facial Hair","beast",5.17594017646158,280
"Senseless Sacrifice","listen",5.17594017646158,280
"Large and in Charge","keep",5.17590100938909,190
"Evil Former Friend","everything",5.17578892253446,32
"Genghis Gambit","congratulation",5.17578436414372,145
"Punctuation Shaker","she",5.17574459313569,13
"Muggle Foster Parents","she",5.17574459313569,13
"Heroic Seductress","she",5.17574459313569,13
"Intimate Psychotherapy","she",5.17574459313569,13
"Optional Sexual Encounter","she",5.17574459313569,13
"Platonic Prostitution","she",5.17574459313569,13
"Prophecy Twist","she",5.17574459313569,13
"Sex Goddess","she",5.17574459313569,13
"Sex Tourism","she",5.17574459313569,13
"Heterosexual Life-Partners","panicking",5.17563907422283,127
"Sergeant Rock","warrior",5.17555491490401,161
"Dub Personality Change","family",5.17545374451152,51
"Don't You Dare Pity Me!","instead",5.17540918705765,143
"Numerological Motif","outside",5.17443104525646,79
"Spotting the Thread","permit",5.17441158183112,124
"Becoming the Mask","comrade",5.17439157479671,132
"And I Must Scream","hear",5.17392859500682,191
"The Heart","wait",5.17386262521347,267
"Non-Standard Game Over","around",5.17381518821969,97
"Kid Sidekick","around",5.17381518821969,97
"Damsel in Distress","spy",5.17367784910829,499
"Co-Dragons","join",5.17366251906993,46
"Deal with the Devil","recognize",5.17358125164758,359
"Deal with the Devil","vast",5.17358125164758,359
"Deal with the Devil","sense",5.17358125164758,359
"Frame-Up","late",5.17353477074387,211
"Too Good for This Sinful Earth","party",5.17353345163457,172
"Talk Like a Pirate","always",5.17334370974986,59
"Teen Genius","approach",5.1733290372981,178
"Crusading Widower","just",5.17327565599567,13
"Everything's Better with Samurai","just",5.17327565599567,13
"Flowery Elizabethan English","just",5.17327565599567,13
"Hopeless with Tech","just",5.17327565599567,13
"Jidaigeki","just",5.17327565599567,13
"Possession Equals Mastery","just",5.17327565599567,13
"Required Secondary Powers","just",5.17327565599567,13
"Single-Stroke Battle","just",5.17327565599567,13
"The Strength of Ten Men","just",5.17327565599567,13
"Walking Techbane","just",5.17327565599567,13
"Watching Troy Burn","just",5.17327565599567,13
"Stance System","till",5.17325141658708,58
"Our Ghosts Are Different","forgive",5.17320642922767,39
"Dragon Knight","become",5.17311234317788,75
"Rank Up","shine",5.17307118560579,91
"The Battle Didn't Count","whose",5.17307118560579,91
"Brown Note","for.",5.17294333101714,27
"Utopia Justifies the Means","for.",5.17294333101714,27
"Last of His Kind","worry",5.17286175640393,175
"Jack of All Stats","worry",5.17286175640393,175
"No Sympathy","busy",5.17281353856691,195
"The Gadfly","last",5.17260739441727,202
"Blush Sticker","so",5.17259609593184,62
"Knight in Shining Armor","adventurer",5.17253752988535,315
"Token Good Teammate","adventurer",5.17253752988535,315
"Token Good Teammate","oughtta",5.17253752988535,315
"Token Good Teammate","refuge",5.17253752988535,315
"Token Good Teammate","slum",5.17253752988535,315
"Proud Warrior Race Guy","trap",5.17253752988535,315
"Butt-Monkey","huh",5.1725155583109,325
"Villain Teleportation","field",5.17238914127568,98
"Breaking Lecture","long",5.17231620410957,17
"We Meet Again","long",5.17231620410957,17
"Important Haircut","long",5.17231620410957,17
"Evil Sorceror","long",5.17231620410957,17
"Made of Evil","long",5.17231620410957,17
"Oni","long",5.17231620410957,17
"Our Centaurs Are Different","long",5.17231620410957,17
"Superior Species","long",5.17231620410957,17
"Humble Hero","um",5.17196460343443,253
"Blinded by the Light","every",5.17163139507207,402
"Florence Nightingale Effect","exactly",5.17138948293787,81
"Nice to the Waiter","getting",5.17134337683739,99
"Secret Test of Character","wing",5.17134337683739,99
"Family Business","require",5.17119092796537,48
"Time Abyss","assure",5.17119092796537,48
"Break Them by Talking","require",5.17119092796537,48
"Arch-Enemy","power",5.17102642485586,177
"Boss Corridor","shelter",5.17095399180605,103
"Boss Corridor","accompany",5.17095399180605,103
"Boss Corridor","race",5.17095399180605,103
"Big Bad Ensemble","shelter",5.17095399180605,103
"Big Bad Ensemble","accompany",5.17095399180605,103
"Big Bad Ensemble","race",5.17095399180605,103
"Staff of Authority","most",5.1709335537279,74
"Unwanted Harem","hurt",5.17079387369556,19
"Like an Old Married Couple","hurt",5.17079387369556,19
"Lovable Rogue","limit",5.17067726531601,100
"Adaptational Attractiveness","limit",5.17067726531601,100
"Big Damn Heroes","his",5.1706633962313,775
"Rapid-Fire Fisticuffs","save",5.17062599510417,83
"La Résistance","between",5.17062599510417,83
"So Long, and Thanks for All the Gear","off",5.17062599510417,83
"Uniformity Exception","you",5.17044051868038,158
"Nice Job Fixing It, Villain","fail",5.1702253244834,247
"Adaptational Heroism","I",5.17007339453595,326
"Ambiguously Bi","quick",5.16956182464148,129
"Heel Realization","small",5.16956182464148,129
"The Immune","retribution",5.16948753093326,159
"In-Series Nickname","two",5.16940722582577,78
"Scarily Competent Tracker","good",5.16927276786107,21
"Lying to Protect Your Feelings","which",5.16898069372941,24
"Crash-Into Hello","prosper",5.16895183044768,71
"Bunny-Ears Lawyer","confused",5.16878731372474,477
"Bunny-Ears Lawyer","hello",5.16878731372474,477
"Character Tic","shut",5.16873204544848,120
"Deadpan Snarker","question",5.16871986424684,1230
"Deadly Upgrade","god",5.1686911775021,62
"Gone Horribly Right","thancre",5.16865239009668,152
"Megaton Punch","guard",5.16850467401887,25
"How Do I Shot Web?","guard",5.16850467401887,25
"Face–Heel Turn","lot",5.16849792083843,216
"Face–Heel Turn","fiend",5.16849792083843,216
"""Well Done, Son"" Guy","someone",5.1671776833237,136
"It's Personal","scene",5.16715219788088,185
"It's Personal","bitter",5.16715219788088,185
"It's Personal","wage",5.16715219788088,185
"Ironic Echo","throughout",5.16715219788088,185
"Foreshadowing","our",5.16713745855872,710
"Assassin Outclassin'","nonetheless",5.16712168122354,47
"At the Opera Tonight","nonetheless",5.16712168122354,47
"Believing Their Own Lies","nonetheless",5.16712168122354,47
"Black Humor","nonetheless",5.16712168122354,47
"Body Backup Drive","nonetheless",5.16712168122354,47
"Costume Inertia","nonetheless",5.16712168122354,47
"Defeat Equals Friendship","nonetheless",5.16712168122354,47
"Dehumanization","nonetheless",5.16712168122354,47
"Determined Defeatist","nonetheless",5.16712168122354,47
"Evil Learns of Outside Context","nonetheless",5.16712168122354,47
"Exhausted Eye Bags","nonetheless",5.16712168122354,47
"Final-Exam Boss","nonetheless",5.16712168122354,47
"Forgotten Friend, New Foe","nonetheless",5.16712168122354,47
"Gleeful and Grumpy Pairing","nonetheless",5.16712168122354,47
"Lemony Narrator","nonetheless",5.16712168122354,47
"Moving the Goalposts","nonetheless",5.16712168122354,47
"Name To Run Away From Really Fast","nonetheless",5.16712168122354,47
"Rooting for the Empire","nonetheless",5.16712168122354,47
"Schemer","nonetheless",5.16712168122354,47
"Speak Ill of the Dead","nonetheless",5.16712168122354,47
"Super Supremacist","nonetheless",5.16712168122354,47
"Superweapon Surprise","nonetheless",5.16712168122354,47
"Sympathy for the Hero","nonetheless",5.16712168122354,47
"Torso with a View","nonetheless",5.16712168122354,47
"Two Aliases, One Character","nonetheless",5.16712168122354,47
"Wham Shot","nonetheless",5.16712168122354,47
"Whole-Plot Reference","nonetheless",5.16712168122354,47
"Written by the Winners","nonetheless",5.16712168122354,47
"The Lancer","clean",5.16706376923685,348
"The Lancer","nethicite",5.16706376923685,348
"Cool Uncle","trouble",5.16701396280278,52
"Sensitive Guy and Manly Man","trouble",5.16701396280278,52
"Flash Step","mind",5.16701345116977,126
"Laughing Mad","could",5.16697503573857,140
"Bag of Spilling","be",5.16685339651692,132
"Universally Beloved Leader","oughtta",5.166376649619,316
"Puzzle Boss","hungry",5.16586877387231,56
"Iconic Starter Equipment","hungry",5.16586877387231,56
"Adaptational Early Appearance","hungry",5.16586877387231,56
"Anime Hair","these",5.16583158127132,142
"Hard-Drinking Party Girl","mean",5.16578734201539,51
"Dying Moment of Awesome","deliver",5.16567854838659,93
"Eviler than Thou","quiet",5.16567854838659,93
"Villainous Rescue","kingdom",5.16567854838659,93
"Stealing the Credit","home",5.16554331065408,36
"Quest Giver","guy",5.16536407758953,221
"Dark and Troubled Past","expert",5.16536407758953,221
"Dark and Troubled Past","pirate",5.16536407758953,221
"The Dog Bites Back","ask",5.16526774323371,33
"Covered with Scars","ask",5.16526774323371,33
"Color-Coded Characters","ask",5.16526774323371,33
"Endearingly Dorky","ask",5.16526774323371,33
"Hates Small Talk","battle",5.1650503565288,80
"Fangirl","hurt",5.1647849174907,151
"Calling the Old Man Out","when",5.16443168194914,81
"Combat Pragmatist","tis",5.16434581479515,212
"Flat Character","worthy",5.16433670632014,298
"The Turret Master","have",5.16427675754938,65
"Mr. Fanservice","muscle",5.1641951722291,157
"For Science!","datum",5.1641951722291,157
"For Science!","stage",5.1641951722291,157
"The Sociopath","datum",5.1641951722291,157
"The Sociopath","stage",5.1641951722291,157
"This Cannot Be!","prayer",5.1641951722291,157
"Dead All Along","word",5.16410257886492,228
"Establishing Character Moment","that",5.16395393702364,1022
"Out of Focus","seriously",5.16395287765362,388
"Smug Snake","fault",5.16371761167998,457
"Signature Move","foot",5.16370861732415,242
"Braids of Barbarism","warrior",5.16352179151968,162
"Cuteness Proximity","rise",5.16352179151968,162
